,site,points,title,description,taster_name,taster_twitter_handle,taster_photo,price,designation,variety,region_1,region_2,province,country,winery
0,winemag-data_1644183718.934335.json,88,José Maria da Fonseca 2020 Trevo White (Península de Setúbal),"
                      Given an attractive perfumed edge by the Moscatel in the blend, the wine is full of fruit and has a light bite of acidity and a crisp aftertaste. Drink now.                      ",Roger Voss,@vossroger,https://253qv1sx4ey389p9wtpp9sj0-wpengine.netdna-ssl.com/wp-content/uploads/2019/11/RogerVoss_CreditAlainBenoit_300x450.jpg,12.0,Trevo,Portuguese White,,,Península de Setúbal,Portugal,José Maria da Fonseca
1,winemag-data_1644183718.934335.json,88,Monte da Ravasqueira 2019 Porta d'Armas Red (Dão),"
                      This perfumed wine shows cool mountain red fruits alongside acidity and young berry fruits. The wine is packed with fruit and is ready to drink.                      ",Roger Voss,@vossroger,https://253qv1sx4ey389p9wtpp9sj0-wpengine.netdna-ssl.com/wp-content/uploads/2019/11/RogerVoss_CreditAlainBenoit_300x450.jpg,12.0,Porta d'Armas,Portuguese Red,,,Dão,Portugal,Monte da Ravasqueira
2,winemag-data_1644183718.934335.json,88,Nola Grace NV Carbonated Pinot Grigio (California),"
                      Very fresh and frankly fruity, this wine is light on its feet, offering tasty apple, jicama and banana flavors on a light body, with a supple effervescence.                      ",Jim Gordon,@gordone_cellars,https://253qv1sx4ey389p9wtpp9sj0-wpengine.netdna-ssl.com/wp-content/uploads/2019/11/Jim_Gordon_BillReitzel_300x450.jpg,15.0,Carbonated,Pinot Grigio,California,California Other,California,US,Nola Grace
3,winemag-data_1644183718.934335.json,88,Skyside 2019 Cabernet Sauvignon (North Coast),"
                      Subtle pastry-shop aromas quickly give way to wood smoke and black cherry before the palate turns firm with tannin that grips cranberry and black-olive flavors. The wine has a Bordeauxlike austerity that needs vigorous decanting or more time in the cellar to relax. Best from 2024.                      ",Jim Gordon,@gordone_cellars,https://253qv1sx4ey389p9wtpp9sj0-wpengine.netdna-ssl.com/wp-content/uploads/2019/11/Jim_Gordon_BillReitzel_300x450.jpg,20.0,,Cabernet Sauvignon,North Coast,North Coast,California,US,Skyside
4,winemag-data_1644183718.934335.json,88,Parras Wines 2020 Mula Velha Reserva Red (Lisboa),"
                      This ripe, structured wine has layers of tannins, spice and toast. They combine with the developing blackberry fruits that show strongly. The wine is ready to drink.                      ",Roger Voss,@vossroger,https://253qv1sx4ey389p9wtpp9sj0-wpengine.netdna-ssl.com/wp-content/uploads/2019/11/RogerVoss_CreditAlainBenoit_300x450.jpg,10.0,Mula Velha Reserva,Portuguese Red,,,Lisboa,Portugal,Parras Wines
5,winemag-data_1644183718.934335.json,88,Abegoria 2016 Herdade do Gamito Alicante Bouschet (Alentejano),"
                      This is an attractively mature wine with soft tannins and secondary flavors. Spicy and having fine berry fruit and acidity, the wine is ready to drink.                      ",Roger Voss,@vossroger,https://253qv1sx4ey389p9wtpp9sj0-wpengine.netdna-ssl.com/wp-content/uploads/2019/11/RogerVoss_CreditAlainBenoit_300x450.jpg,15.0,Herdade do Gamito,Alicante Bouschet,,,Alentejano,Portugal,Abegoria
0,winemag-data_1644183711.7956798.json,88,Collalto 2020 Brut San Salvatore  (Conegliano Valdobbiadene Prosecco Superiore),"
                      Creamy and fragrant, this offers aromas of honeysuckle, citrus and ripe orchard fruit. On the bright palate, vibrant acidity and a foaming perlage accompany white peach, green melon and Granny Smith apple.                      ",Kerin O’Keefe,@kerinokeefe,https://253qv1sx4ey389p9wtpp9sj0-wpengine.netdna-ssl.com/wp-content/uploads/2019/11/kerin_O_Keefe_300x450.jpg,12.0,Brut San Salvatore,Glera,Conegliano Valdobbiadene Prosecco Superiore,,Veneto,Italy,Collalto
1,winemag-data_1644183711.7956798.json,88,Dark Horse 2019 Merlot (California),"
                      A flinty character dominates this otherwise smooth and polished wine. Aromas of tobacco and wood char lead to herb-tinged black-cherry and black-currant flavors as light tannins add a bit of texture to the mouthfeel.                      ",Jim Gordon,@gordone_cellars,https://253qv1sx4ey389p9wtpp9sj0-wpengine.netdna-ssl.com/wp-content/uploads/2019/11/Jim_Gordon_BillReitzel_300x450.jpg,8.0,,Merlot,California,California Other,California,US,Dark Horse
2,winemag-data_1644183711.7956798.json,88,La Jara NV Frizzante  (Prosecco),"
                      Made with organically grown grapes, this fizzy wine has aromas of white and yellow field flowers and almond. The dry, tangy palate offers ripe pear, yellow apple and lemon zest alongside bright acidity.                      ",Kerin O’Keefe,@kerinokeefe,https://253qv1sx4ey389p9wtpp9sj0-wpengine.netdna-ssl.com/wp-content/uploads/2019/11/kerin_O_Keefe_300x450.jpg,12.0,Frizzante,Glera,Prosecco,,Veneto,Italy,La Jara
3,winemag-data_1644183711.7956798.json,88,Simple Life 2019 Cabernet Sauvignon (California),"
                      This rich and densely packed wine is delicious and verges on sweetness. It shows ripe blackberries, strawberries and milk chocolate flavors on a lightly tannic and broad texture.                      ",Jim Gordon,@gordone_cellars,https://253qv1sx4ey389p9wtpp9sj0-wpengine.netdna-ssl.com/wp-content/uploads/2019/11/Jim_Gordon_BillReitzel_300x450.jpg,12.0,,Cabernet Sauvignon,California,California Other,California,US,Simple Life
4,winemag-data_1644183711.7956798.json,88,Parras Wines 2020 Alfacinha Reserva Red (Lisboa),"
                      Light oak aging has given this wine extra richness, spice and light tannins. It is balanced with richness, plenty of berry fruits and a vanilla aftertaste. Drink now.                      ",Roger Voss,@vossroger,https://253qv1sx4ey389p9wtpp9sj0-wpengine.netdna-ssl.com/wp-content/uploads/2019/11/RogerVoss_CreditAlainBenoit_300x450.jpg,9.0,Alfacinha Reserva,Portuguese Red,,,Lisboa,Portugal,Parras Wines
5,winemag-data_1644183711.7956798.json,88,Columbia Crest 2018 Grand Estates Cabernet Sauvignon (Columbia Valley (WA)),"
                      The aromas bring notes of cigar box, spice, tar and cherry. The dark chocolate flavors are supple, painting around the edges initially, with the tannins giving a light grip. It's a lot of wine for the money.                      ",Sean P. Sullivan,@wawinereport,https://253qv1sx4ey389p9wtpp9sj0-wpengine.netdna-ssl.com/wp-content/uploads/2019/11/Sean_Sullivan_300x450.jpg,12.0,Grand Estates,Cabernet Sauvignon,Columbia Valley (WA),Columbia Valley,Washington,US,Columbia Crest
0,winemag-data_1644183667.3527775.json,90,Domaine du Haut Bourg 2020 La Désirée de Haut Bourg Sur Lie  (Muscadet Côtes de Grandlieu),"
                      A selection from different parcels, this wine is full of fresh apple flavors that are lifted by acidity and smoothed by a creamy texture. This Muscadet has the potential for some aging. Drink from 2022.                      ",Roger Voss,@vossroger,https://253qv1sx4ey389p9wtpp9sj0-wpengine.netdna-ssl.com/wp-content/uploads/2019/11/RogerVoss_CreditAlainBenoit_300x450.jpg,18.0,La Désirée de Haut Bourg Sur Lie,Melon,Muscadet Côtes de Grandlieu,,Loire Valley,France,Domaine du Haut Bourg
1,winemag-data_1644183667.3527775.json,90,Dona Maria-Júlio Bastos 2017 Dona Maria Red (Alentejo),"
                      An open, generous blend that boasts rich Alicante Bouschet and perfumed Touriga Nacional. The wine is mature and smooth from its wood and its aging. Drink now.                      ",Roger Voss,@vossroger,https://253qv1sx4ey389p9wtpp9sj0-wpengine.netdna-ssl.com/wp-content/uploads/2019/11/RogerVoss_CreditAlainBenoit_300x450.jpg,17.0,Dona Maria,Portuguese Red,,,Alentejo,Portugal,Dona Maria-Júlio Bastos
2,winemag-data_1644183667.3527775.json,90,Seghesio 2018 Montafi Zinfandel (Russian River Valley),"
                      This wine is rich and creamy in blackberry and cherry fruit, with light touches of nutmeg, cigar and leather. The tannins are thick and dusty, contributing a grip to the texture and overall weight of the dense, concentrated palate.                      ",Virginie Boone,@vboone,https://253qv1sx4ey389p9wtpp9sj0-wpengine.netdna-ssl.com/wp-content/uploads/2019/11/Virgine_Boone_300x450.jpg,65.0,Montafi,Zinfandel,Russian River Valley,Sonoma,California,US,Seghesio
